id,type,altitude,inclination,period,raan,true_anomaly
SAT-CARTOSAT-3,SATELLITE,509,97.5,94,45,0
DEB-COSMOS-001,DEBRIS,495,98.1,93.5,120,45
DEB-COSMOS-002,DEBRIS,502,97.8,93.8,130,90
DEB-COSMOS-003,DEBRIS,488,98.3,93.2,110,135
DEB-COSMOS-004,DEBRIS,515,97.2,94.3,140,180
DEB-COSMOS-005,DEBRIS,498,98.0,93.6,125,225
DEB-COSMOS-006,DEBRIS,507,97.6,94.0,135,270
DEB-COSMOS-007,DEBRIS,492,98.2,93.3,115,315
DEB-COSMOS-008,DEBRIS,511,97.4,94.2,145,20
DEB-COSMOS-009,DEBRIS,505,97.7,93.9,128,60
DEB-COSMOS-010,DEBRIS,499,97.9,93.7,122,100
DEB-IRIDIUM-001,DEBRIS,780,86.4,100.4,30,15
DEB-IRIDIUM-002,DEBRIS,775,86.5,100.3,35,75
DEB-IRIDIUM-003,DEBRIS,783,86.3,100.5,28,150
DEB-FENGYUN-001,DEBRIS,840,98.8,101.8,200,30
DEB-FENGYUN-002,DEBRIS,835,98.9,101.7,205,90
DEB-FENGYUN-003,DEBRIS,845,98.7,101.9,195,180
